iter	Passed	Remaining
0	76	38146
1	155	38768
2	226	37461
3	296	36802
4	374	37112
5	452	37255
6	517	36419
7	562	34619
8	616	33639
9	691	33872
10	760	33790
11	810	32943
12	868	32553
13	946	32841
14	1023	33080
15	1103	33371
16	1177	33450
17	1254	33603
18	1322	33472
19	1396	33522
20	1459	33287
21	1526	33167
22	1598	33160
23	1665	33031
24	1714	32577
25	1758	32067
26	1803	31590
27	1848	31158
28	1892	30742
29	1937	30359
30	1978	29932
31	2015	29476
32	2053	29066
33	2092	28676
34	2155	28640
35	2213	28533
36	2253	28194
37	2309	28076
38	2349	27767
39	2399	27594
40	2439	27304
41	2488	27134
42	2539	26993
43	2579	26731
44	2632	26619
45	2686	26517
46	2727	26289
47	2767	26056
48	2807	25838
49	2847	25628
50	2887	25419
51	2925	25208
52	2965	25010
53	3004	24817
54	3044	24630
55	3082	24442
56	3130	24327
57	3200	24392
58	3240	24220
59	3277	24036
60	3316	23868
61	3355	23701
62	3393	23539
63	3435	23403
64	3479	23284
65	3542	23297
66	3592	23215
67	3653	23211
68	3713	23198
69	3752	23048
70	3788	22891
71	3826	22748
72	3865	22612
73	3905	22480
74	3943	22348
75	3982	22216
76	4021	22091
77	4060	21967
78	4111	21909
79	4176	21929
80	4226	21862
81	4274	21788
82	4343	21822
83	4406	21821
84	4447	21713
85	4487	21602
86	4556	21631
87	4601	21544
88	4654	21493
89	4720	21504
90	4764	21415
91	4804	21305
92	4843	21196
93	4882	21087
94	4920	20978
95	4957	20864
96	4995	20754
97	5033	20647
98	5071	20542
99	5122	20490
100	5172	20435
101	5216	20354
102	5260	20275
103	5299	20179
104	5338	20082
105	5386	20020
106	5453	20029
107	5522	20044
108	5584	20034
109	5640	19998
110	5699	19973
111	5739	19882
112	5781	19799
113	5823	19718
114	5861	19624
115	5900	19533
116	5939	19441
117	5977	19351
118	6015	19258
119	6054	19172
120	6096	19096
121	6164	19100
122	6215	19051
123	6254	18964
124	6310	18930
125	6378	18932
126	6418	18850
127	6456	18763
128	6511	18726
129	6582	18735
130	6653	18742
131	6710	18706
132	6748	18623
133	6785	18533
134	6827	18458
135	6871	18391
136	6915	18324
137	6961	18260
138	7005	18194
139	7049	18128
140	7094	18062
141	7154	18038
142	7200	17975
143	7238	17894
144	7275	17812
145	7311	17728
146	7347	17644
147	7384	17562
148	7425	17493
149	7469	17429
150	7514	17368
151	7569	17331
152	7630	17305
153	7691	17280
154	7736	17219
155	7813	17228
156	7887	17230
157	7964	17239
158	8033	17228
159	8102	17217
160	8158	17179
161	8202	17112
162	8242	17041
163	8284	16972
164	8348	16949
165	8407	16916
166	8448	16845
167	8524	16845
168	8599	16843
169	8661	16814
170	8699	16738
171	8738	16663
172	8777	16590
173	8815	16515
174	8854	16444
175	8894	16374
176	8932	16301
177	8971	16229
178	9012	16161
179	9056	16100
180	9121	16075
181	9184	16047
182	9236	16000
183	9276	15931
184	9315	15861
185	9353	15790
186	9399	15732
187	9463	15704
188	9516	15658
189	9589	15646
190	9654	15618
191	9710	15577
192	9747	15505
193	9786	15436
194	9824	15365
195	9863	15297
196	9902	15230
197	9949	15175
198	9988	15107
199	10028	15042
200	10086	15003
201	10153	14979
202	10200	14923
203	10243	14862
204	10297	14818
205	10359	14785
206	10409	14733
207	10447	14666
208	10498	14618
209	10565	14590
210	10637	14570
211	10691	14523
212	10729	14457
213	10766	14389
214	10804	14322
215	10850	14266
216	10887	14199
217	10923	14130
218	10961	14064
219	10998	13997
220	11037	13934
221	11077	13871
222	11128	13823
223	11186	13783
224	11226	13720
225	11265	13658
226	11305	13596
227	11344	13533
228	11383	13471
229	11422	13409
230	11462	13348
231	11519	13307
232	11591	13282
233	11656	13250
234	11696	13189
235	11735	13128
236	11774	13066
237	11817	13009
238	11857	12949
239	11898	12889
240	11937	12829
241	11977	12769
242	12017	12709
243	12057	12650
244	12116	12611
245	12171	12567
246	12209	12506
247	12248	12445
248	12287	12386
249	12349	12349
250	12416	12317
251	12460	12262
252	12505	12208
253	12556	12160
254	12625	12130
255	12671	12077
256	12713	12021
257	12780	11987
258	12822	11930
259	12862	11873
260	12902	11815
261	12942	11756
262	12981	11698
263	13038	11656
